passage_id,source,lines,confidence,source_most_recent_date,nearest_prior_date,passage_dates,file_version_signal,nearest_prior_version,passage_versions
NATHAN-000020, O Addendum Proto-Candyface + Antiquer Mashup.txt,67-68,likely,2072,,,,,
NATHAN-000021, O Addendum Proto-Candyface + Antiquer Mashup.txt,69-74,likely,2072,,,,,
NATHAN-000022, O Addendum Proto-Candyface + Antiquer Mashup.txt,75-76,likely,2072,,,,,
NATHAN-000023, O Addendum Proto-Candyface + Antiquer Mashup.txt,77-78,likely,2072,,,,,
NATHAN-000024, O Addendum Proto-Candyface + Antiquer Mashup.txt,79-80,likely,2072,,,,,
NATHAN-000025, O Addendum Proto-Candyface + Antiquer Mashup.txt,81-82,likely,2072,,,,,
NATHAN-000026, O Addendum Proto-Candyface + Antiquer Mashup.txt,83-84,likely,2072,,,,,
NATHAN-000027, O Addendum Proto-Candyface + Antiquer Mashup.txt,85-86,likely,2072,,,,,
NATHAN-000028, O Addendum Proto-Candyface + Antiquer Mashup.txt,87-88,likely,2072,,,,,
NATHAN-000029, O Addendum Proto-Candyface + Antiquer Mashup.txt,89-90,likely,2072,,,,,
NATHAN-000030, O Addendum Proto-Candyface + Antiquer Mashup.txt,91-92,likely,2072,,,,,
NATHAN-000031, O Addendum Proto-Candyface + Antiquer Mashup.txt,93-94,likely,2072,,,,,
NATHAN-000032, O Addendum Proto-Candyface + Antiquer Mashup.txt,95-96,likely,2072,,,,,
NATHAN-000033, O Addendum Proto-Candyface + Antiquer Mashup.txt,97-98,likely,2072,,,,,
NATHAN-000034, O Addendum Proto-Candyface + Antiquer Mashup.txt,99-100,likely,2072,,,,,
NATHAN-000035, O Addendum Proto-Candyface + Antiquer Mashup.txt,101-102,likely,2072,,,,,
NATHAN-000036, O Addendum Proto-Candyface + Antiquer Mashup.txt,103-104,likely,2072,,,,,
NATHAN-000037, O Addendum Proto-Candyface + Antiquer Mashup.txt,105-106,likely,2072,,,,,
NATHAN-000038, O Addendum Proto-Candyface + Antiquer Mashup.txt,107-108,likely,2072,,,,,
NATHAN-000039, O Addendum Proto-Candyface + Antiquer Mashup.txt,109-110,likely,2072,,,,,
NATHAN-000040, O Addendum Proto-Candyface + Antiquer Mashup.txt,111-112,likely,2072,,,,,
NATHAN-000041, O Addendum Proto-Candyface + Antiquer Mashup.txt,113-114,likely,2072,,,,,
NATHAN-000042, O Addendum Proto-Candyface + Antiquer Mashup.txt,115-116,likely,2072,,,,,
NATHAN-000043, O Addendum Proto-Candyface + Antiquer Mashup.txt,117-118,likely,2072,,,,,
NATHAN-000044, O Addendum Proto-Candyface + Antiquer Mashup.txt,119-120,likely,2072,,,,,
NATHAN-000045, O Addendum Proto-Candyface + Antiquer Mashup.txt,121-122,likely,2072,,,,,
NATHAN-000046, O Addendum Proto-Candyface + Antiquer Mashup.txt,123-124,likely,2072,,,,,
NATHAN-000047, O Addendum Proto-Candyface + Antiquer Mashup.txt,125-126,likely,2072,2072,,,,
NATHAN-000048, O Addendum Proto-Candyface + Antiquer Mashup.txt,127-128,likely,2072,2072,2072,,,
NATHAN-000049, O Addendum Proto-Candyface + Antiquer Mashup.txt,129-130,likely,2072,2072,2072,,,
NATHAN-000050, O Addendum Proto-Candyface + Antiquer Mashup.txt,131-132,likely,2072,2072,,,,
NATHAN-000051, O Addendum Proto-Candyface + Antiquer Mashup.txt,133-134,likely,2072,2072,,,,
NATHAN-000052, O Addendum Proto-Candyface + Antiquer Mashup.txt,135-136,likely,2072,2072,,,,
NATHAN-000053, O Addendum Proto-Candyface + Antiquer Mashup.txt,137-138,likely,2072,2072,,,,
NATHAN-000054, O Addendum Proto-Candyface + Antiquer Mashup.txt,139-140,likely,2072,2072,,,,
NATHAN-000055, O Addendum Proto-Candyface + Antiquer Mashup.txt,141-142,likely,2072,2072,,,,
NATHAN-000056, O Addendum Proto-Candyface + Antiquer Mashup.txt,143-146,likely,2072,2072,,,,
NATHAN-000057, O Addendum Proto-Candyface + Antiquer Mashup.txt,147-148,likely,2072,2072,,,,
NATHAN-000058, O Addendum Proto-Candyface + Antiquer Mashup.txt,149-154,likely,2072,2072,,,,
NATHAN-000059, O Addendum Proto-Candyface + Antiquer Mashup.txt,155-156,likely,2072,2072,,,,
NATHAN-000060, O Addendum Proto-Candyface + Antiquer Mashup.txt,157-158,likely,2072,2072,,,,
NATHAN-000061, O Addendum Proto-Candyface + Antiquer Mashup.txt,159-160,likely,2072,2072,,,,
NATHAN-000062, O Addendum Proto-Candyface + Antiquer Mashup.txt,161-162,likely,2072,2072,,,,
NATHAN-000063, O Addendum Proto-Candyface + Antiquer Mashup.txt,163-164,likely,2072,2072,,,,
NATHAN-000064, O Addendum Proto-Candyface + Antiquer Mashup.txt,165-166,likely,2072,2072,,,,
NATHAN-000065, O Addendum Proto-Candyface + Antiquer Mashup.txt,167-168,likely,2072,2072,,,,
NATHAN-000066, O Addendum Proto-Candyface + Antiquer Mashup.txt,169-170,likely,2072,2072,,,,
NATHAN-000067, O Addendum Proto-Candyface + Antiquer Mashup.txt,171-172,likely,2072,2072,,,,
NATHAN-000068, O Addendum Proto-Candyface + Antiquer Mashup.txt,173-174,likely,2072,2072,,,,
NATHAN-000069, O Addendum Proto-Candyface + Antiquer Mashup.txt,175-176,likely,2072,2072,,,,
NATHAN-000070, O Addendum Proto-Candyface + Antiquer Mashup.txt,177-183,likely,2072,2072,,,,
NATHAN-000071, O Addendum Proto-Candyface + Antiquer Mashup.txt,184-185,likely,2072,2072,,,,
NATHAN-000072, O Addendum Proto-Candyface + Antiquer Mashup.txt,186-187,likely,2072,2072,,,,
NATHAN-000073, O Addendum Proto-Candyface + Antiquer Mashup.txt,188-197,likely,2072,2072,,,,
NATHAN-000074, O Addendum Proto-Candyface + Antiquer Mashup.txt,198-199,likely,2072,2072,,,,
NATHAN-000075, O Addendum Proto-Candyface + Antiquer Mashup.txt,200-203,likely,2072,2072,,,,
NATHAN-000076,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,4-5,likely,,,,SAT_RMS,,
NATHAN-000077,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,19-20,likely,,,,SAT_RMS,,
NATHAN-000078,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,24-25,likely,,,,SAT_RMS,,
NATHAN-000079,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,49-50,likely,,,,SAT_RMS,,
NATHAN-000080,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,66-67,likely,,,,SAT_RMS,,
NATHAN-000081,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,71-72,likely,,,,SAT_RMS,,
NATHAN-000082,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,76-77,likely,,,,SAT_RMS,,
NATHAN-000083,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,81-82,likely,,,,SAT_RMS,,
NATHAN-000084,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,94-101,likely,,,,SAT_RMS,,
NATHAN-000085,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,105-106,likely,,,,SAT_RMS,,
NATHAN-000086,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,110-112,likely,,,,SAT_RMS,,
NATHAN-000087,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,113-113,likely,,,,SAT_RMS,,
NATHAN-000088,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,117-118,likely,,,,SAT_RMS,,
NATHAN-000089,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,122-123,likely,,,,SAT_RMS,,
NATHAN-000090,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,127-128,likely,,,,SAT_RMS,,
NATHAN-000091,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,140-143,likely,,,,SAT_RMS,,
NATHAN-000092,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,163-166,likely,,,,SAT_RMS,,
NATHAN-000093,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,178-179,likely,,,,SAT_RMS,,
NATHAN-000094,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,185-190,likely,,,,SAT_RMS,,
NATHAN-000095,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,200-203,likely,,,,SAT_RMS,,
NATHAN-000096,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,211-212,likely,,,,SAT_RMS,,
NATHAN-000097,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,218-225,likely,,,,SAT_RMS,,
NATHAN-000098,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,229-230,likely,,,,SAT_RMS,,
NATHAN-000099,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,234-235,likely,,,,SAT_RMS,,
NATHAN-000100,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,243-246,likely,,,,SAT_RMS,,
NATHAN-000101,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,250-251,likely,,,,SAT_RMS,,
NATHAN-000102,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,256-258,likely,,,,SAT_RMS,,
NATHAN-000103,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,268-271,likely,,,,SAT_RMS,,
NATHAN-000104,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,275-278,likely,,,,SAT_RMS,,
NATHAN-000105,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,288-291,likely,,,,SAT_RMS,,
NATHAN-000106,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,301-302,likely,,,,SAT_RMS,,
NATHAN-000107,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,306-307,likely,,,,SAT_RMS,,
NATHAN-000108,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,329-330,likely,,,,SAT_RMS,,
NATHAN-000109,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,334-338,likely,,,,SAT_RMS,,
NATHAN-000110,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,342-346,likely,,,,SAT_RMS,,
NATHAN-000111,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,347-347,likely,,,,SAT_RMS,,
NATHAN-000112,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,348-348,likely,,,,SAT_RMS,,
NATHAN-000113,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,354-355,likely,,,,SAT_RMS,,
NATHAN-000114,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,359-361,likely,,,,SAT_RMS,,
NATHAN-000115,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,362-362,likely,,,,SAT_RMS,,
NATHAN-000116,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,363-363,likely,,,,SAT_RMS,,
NATHAN-000117,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,369-370,likely,,,,SAT_RMS,,
NATHAN-000118,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,374-375,likely,,,,SAT_RMS,,
NATHAN-000119,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,379-383,likely,,,,SAT_RMS,,
NATHAN-000120,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,389-390,likely,,,,SAT_RMS,,
NATHAN-000121,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,394-395,likely,,,,SAT_RMS,,
NATHAN-000122,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,399-403,likely,,,,SAT_RMS,,
NATHAN-000123,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,409-411,likely,,,,SAT_RMS,,
NATHAN-000124,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,412-412,likely,,,,SAT_RMS,,
NATHAN-000125,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,413-413,likely,,,,SAT_RMS,,
NATHAN-000126,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,417-419,likely,,,,SAT_RMS,,
NATHAN-000127,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,420-420,likely,,,,SAT_RMS,,
NATHAN-000128,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,421-421,likely,,,,SAT_RMS,,
NATHAN-000129,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,428-432,likely,,,,SAT_RMS,,
NATHAN-000130,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,436-437,likely,,,,SAT_RMS,,
NATHAN-000131,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,441-442,likely,,,,SAT_RMS,,
NATHAN-000132,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,446-447,likely,,,,SAT_RMS,,
NATHAN-000133,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,451-452,likely,,,,SAT_RMS,,
NATHAN-000134,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,453-454,likely,,,,SAT_RMS,,
NATHAN-000135,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,455-456,likely,,,,SAT_RMS,,
NATHAN-000136,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,457-460,likely,,,,SAT_RMS,,
NATHAN-000137,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,461-462,likely,,,,SAT_RMS,,
NATHAN-000138,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,470-471,likely,,,,SAT_RMS,,
NATHAN-000139,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,483-484,likely,,,,SAT_RMS,,
NATHAN-000140,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,496-497,likely,,,,SAT_RMS,,
NATHAN-000141,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,501-506,likely,,,,SAT_RMS,,
NATHAN-000142,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,510-511,likely,,,,SAT_RMS,,
NATHAN-000143,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,515-516,likely,,,,SAT_RMS,,
NATHAN-000144,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,528-529,likely,,,,SAT_RMS,,
NATHAN-000145,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,535-538,likely,,,,SAT_RMS,,
NATHAN-000146,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,542-543,likely,,,,SAT_RMS,,
NATHAN-000147,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,549-550,likely,,,,SAT_RMS,,
NATHAN-000148,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,554-555,likely,,,,SAT_RMS,,
NATHAN-000149,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,559-565,likely,,,,SAT_RMS,,
NATHAN-000150,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,573-574,likely,,,,SAT_RMS,,
NATHAN-000151,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,578-585,likely,,,,SAT_RMS,,
NATHAN-000152,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,586-593,likely,,,,SAT_RMS,,
NATHAN-000153,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,594-595,likely,,,,SAT_RMS,,
NATHAN-000154,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,599-606,likely,,,,SAT_RMS,,
NATHAN-000155,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,607-614,likely,,,,SAT_RMS,,
NATHAN-000156,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,615-618,likely,,,,SAT_RMS,,
NATHAN-000157,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,622-629,likely,,,,SAT_RMS,,
NATHAN-000158,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,630-637,likely,,,,SAT_RMS,,
NATHAN-000159,000 Earliest SAT_RMS/001. Epistemology of the World - inverse gravity - Bellomy.txt,638-641,likely,,,,SAT_RMS,,
NATHAN-000160,000 Earliest SAT_RMS/002 Forces Across Temporal Points - to 8-13-24.txt,4-5,likely,,,,SAT_RMS,,
NATHAN-000161,000 Earliest SAT_RMS/002 Forces Across Temporal Points - to 8-13-24.txt,19-30,likely,,,,SAT_RMS,,
NATHAN-000162,000 Earliest SAT_RMS/002 Forces Across Temporal Points - to 8-13-24.txt,31-38,likely,,,,SAT_RMS,,
NATHAN-000163,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,4-5,likely,,,,SAT_RMS,,
NATHAN-000164,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,14-15,likely,,,,SAT_RMS,,
NATHAN-000165,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,16-17,likely,,,,SAT_RMS,,
NATHAN-000166,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,18-19,likely,,,,SAT_RMS,,
NATHAN-000167,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,20-23,likely,,,,SAT_RMS,,
NATHAN-000168,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,24-25,likely,,,,SAT_RMS,,
NATHAN-000169,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,47-70,likely,,,,SAT_RMS,,
NATHAN-000170,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,71-72,likely,,,,SAT_RMS,,
NATHAN-000171,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,73-82,likely,,,,SAT_RMS,,
NATHAN-000172,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,83-86,likely,,,,SAT_RMS,,
NATHAN-000173,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,87-88,likely,,,,SAT_RMS,,
NATHAN-000174,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,108-138,likely,,,,SAT_RMS,,
NATHAN-000175,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,139-186,likely,,,,SAT_RMS,,
NATHAN-000176,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,187-188,likely,,,,SAT_RMS,,
NATHAN-000177,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,189-203,likely,,,,SAT_RMS,,
NATHAN-000178,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,204-205,likely,,,,SAT_RMS,,
NATHAN-000179,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,209-210,likely,,,,SAT_RMS,,
NATHAN-000180,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,211-212,likely,,,,SAT_RMS,,
NATHAN-000181,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,213-214,likely,,,,SAT_RMS,,
NATHAN-000182,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,215-216,likely,,,,SAT_RMS,,
NATHAN-000183,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,217-220,likely,,,,SAT_RMS,,
NATHAN-000184,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,221-222,likely,,,,SAT_RMS,,
NATHAN-000185,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,228-229,likely,,,,SAT_RMS,,
NATHAN-000186,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,230-233,likely,,,,SAT_RMS,,
NATHAN-000187,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,234-235,likely,,,,SAT_RMS,,
NATHAN-000188,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,238-241,likely,,,,SAT_RMS,,
NATHAN-000189,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,242-245,likely,,,,SAT_RMS,,
NATHAN-000190,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,246-247,likely,,,,SAT_RMS,,
NATHAN-000191,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,254-257,likely,,,,SAT_RMS,,
NATHAN-000192,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,260-262,likely,,,,SAT_RMS,,
NATHAN-000193,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,265-266,likely,,,,SAT_RMS,,
NATHAN-000194,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,267-268,likely,,,,SAT_RMS,,
NATHAN-000195,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,269-272,likely,,,,SAT_RMS,,
NATHAN-000196,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,273-275,likely,,,,SAT_RMS,,
NATHAN-000197,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,278-279,likely,,,,SAT_RMS,,
NATHAN-000198,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,280-281,likely,,,,SAT_RMS,,
NATHAN-000199,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,284-285,likely,,,,SAT_RMS,,
NATHAN-000200,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,286-288,likely,,,,SAT_RMS,,
NATHAN-000201,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,289-290,likely,,,,SAT_RMS,,
NATHAN-000202,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,291-292,likely,,,,SAT_RMS,,
NATHAN-000203,000 Earliest SAT_RMS/002. Discreet Space and Dark Matter.txt,293-301,likely,,,,SAT_RMS,,
NATHAN-000204,000 Earliest SAT_RMS/003 Personality Test Summary.txt,4-361,likely,2010,,,SAT_RMS,,
NATHAN-000205,000 Earliest SAT_RMS/003 Personality Test Summary.txt,362-363,likely,2010,2010,2010,SAT_RMS,,
NATHAN-000206,000 Earliest SAT_RMS/003 Personality Test Summary.txt,368-369,likely,2010,2010,,SAT_RMS,,
NATHAN-000207,000 Earliest SAT_RMS/003 Personality Test Summary.txt,370-371,likely,2010,2010,,SAT_RMS,,
NATHAN-000208,000 Earliest SAT_RMS/003 Personality Test Summary.txt,372-373,likely,2010,2010,,SAT_RMS,,
NATHAN-000209,000 Earliest SAT_RMS/003 Personality Test Summary.txt,374-375,likely,2010,2010,,SAT_RMS,,
NATHAN-000210,000 Earliest SAT_RMS/003 Personality Test Summary.txt,376-377,likely,2010,2010,,SAT_RMS,,
NATHAN-000211,000 Earliest SAT_RMS/003 Personality Test Summary.txt,378-379,likely,2010,2010,,SAT_RMS,,
NATHAN-000212,000 Earliest SAT_RMS/003 Personality Test Summary.txt,380-381,likely,2010,2010,,SAT_RMS,,
NATHAN-000213,000 Earliest SAT_RMS/003 Personality Test Summary.txt,382-383,likely,2010,2010,,SAT_RMS,,
NATHAN-000214,000 Earliest SAT_RMS/003 Personality Test Summary.txt,384-385,likely,2010,2010,,SAT_RMS,,
NATHAN-000215,000 Earliest SAT_RMS/003 Personality Test Summary.txt,386-402,likely,2010,2010,,SAT_RMS,,
NATHAN-000216,000 Earliest SAT_RMS/003 Personality Test Summary.txt,403-404,likely,2010,2010,,SAT_RMS,,
NATHAN-000217,000 Earliest SAT_RMS/003 Personality Test Summary.txt,405-407,likely,2010,2010,,SAT_RMS,,
NATHAN-000218,000 Earliest SAT_RMS/003 Personality Test Summary.txt,408-409,likely,2010,2010,,SAT_RMS,,
NATHAN-000219,000 Earliest SAT_RMS/003 Personality Test Summary.txt,410-413,likely,2010,2010,,SAT_RMS,,
NATHAN-000220,000 Earliest SAT_RMS/003 Personality Test Summary.txt,414-415,likely,2010,2010,,SAT_RMS,,
NATHAN-000221,000 Earliest SAT_RMS/003 Personality Test Summary.txt,420-421,likely,2010,2010,,SAT_RMS,,
NATHAN-000222,000 Earliest SAT_RMS/003 Personality Test Summary.txt,422-424,likely,2010,2010,,SAT_RMS,,
NATHAN-000223,000 Earliest SAT_RMS/003 Personality Test Summary.txt,425-427,likely,2010,2010,,SAT_RMS,,
NATHAN-000224,000 Earliest SAT_RMS/003 Personality Test Summary.txt,428-430,likely,2010,2010,,SAT_RMS,,
NATHAN-000225,000 Earliest SAT_RMS/003 Personality Test Summary.txt,431-433,likely,2010,2010,,SAT_RMS,,
